Experiment	Experiment	
Saved Date	10.05.2019 15:29:28	
User		
f_res (Hz)	88185.4831	
Q	5.50	
Phase (deg)	-195.97	
Amp/Exc (nm/mV)	5317.437	
Number of points	256	
Fit length	 	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	1E+0	
Oscillation Control>Input Range (m)	300E-3	
Oscillation Control>Center Frequency (Hz)	88.1855E+3	
Oscillation Control>Range (Hz)	19.5312E+3	
Oscillation Control>Demod 1 Input	0	
Oscillation Control>Demod 2 Input	0	
Oscillation Control>Demod 3 Input	0	
Oscillation Control>Demod 4 Input	0	
Oscillation Control>Demod 1 Frequency	0	
Oscillation Control>Demod 2 Frequency	0	
Oscillation Control>Demod 3 Frequency	0	
Oscillation Control>Demod 4 Frequency	0	
Oscillation Control>Demod 1 Reference Phase (deg)	195.97E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	 3	
Oscillation Control>Demod 2 Filter Order	 2	
Oscillation Control>Demod 3 Filter Order	 2	
Oscillation Control>Demod 4 Filter Order	 2	
Oscillation Control>Phase P gain (Hz/rad)	182E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	307E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	-225.71E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	-4.49372E+12	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	2E+0	
Oscillation Control>output divider	3	
Oscillation Control>output off	TRUE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	5.5E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	-8.46442E+9	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	10.4278E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	5.31744E-3	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
688.25787E+0	88.245672E+3	10.290646E-3	-6.9130449E+0
841.19904E+0	88.245672E+3	10.160837E-3	-8.2639227E+0
994.14020E+0	88.245672E+3	10.092384E-3	-9.0329332E+0
1.1470814E+3	88.245672E+3	9.9726794E-3	-10.608595E+0
1.3000226E+3	88.245672E+3	9.9367518E-3	-12.309789E+0
1.4529637E+3	88.245672E+3	10.033535E-3	-13.812702E+0
1.6059049E+3	88.245672E+3	9.7523397E-3	-13.852640E+0
1.7588461E+3	88.245672E+3	9.6451174E-3	-15.452825E+0
1.9117872E+3	88.245672E+3	9.7435256E-3	-16.600788E+0
2.0647285E+3	88.245672E+3	9.6248444E-3	-18.139347E+0
2.2176697E+3	88.245672E+3	9.6961847E-3	-17.951612E+0
2.3706108E+3	88.245672E+3	9.4951680E-3	-20.001308E+0
2.5235520E+3	88.245672E+3	9.3078678E-3	-20.429510E+0
2.6764932E+3	88.245672E+3	9.2963167E-3	-21.665279E+0
2.8294343E+3	88.245672E+3	9.3222652E-3	-21.841404E+0
2.9823755E+3	88.245672E+3	9.2385979E-3	-24.582504E+0
3.1353167E+3	88.245672E+3	8.9751994E-3	-24.780998E+0
3.2882578E+3	88.245672E+3	9.0592355E-3	-26.260662E+0
3.4411990E+3	88.245672E+3	8.9201787E-3	-26.442364E+0
3.5941401E+3	88.245672E+3	8.9597665E-3	-28.090456E+0
3.7470813E+3	88.245672E+3	8.9484723E-3	-28.482609E+0
3.9000225E+3	88.245672E+3	8.8395271E-3	-30.268404E+0
4.0529636E+3	88.245672E+3	8.7303640E-3	-31.680504E+0
4.2059048E+3	88.245672E+3	8.5227471E-3	-30.774458E+0
4.3588462E+3	88.245672E+3	8.4813097E-3	-33.123688E+0
4.5117876E+3	88.245672E+3	8.3681559E-3	-33.541687E+0
4.6647290E+3	88.245672E+3	8.2927924E-3	-33.848614E+0
4.8176704E+3	88.245672E+3	8.1221676E-3	-35.485073E+0
4.9706118E+3	88.245672E+3	8.2644336E-3	-36.450218E+0
5.1235532E+3	88.245672E+3	7.9787513E-3	-38.689018E+0
5.2764946E+3	88.245672E+3	7.9779271E-3	-37.461678E+0
5.4294360E+3	88.245672E+3	7.7935285E-3	-38.456463E+0
5.5823774E+3	88.245672E+3	7.8430567E-3	-39.400185E+0
5.7353188E+3	88.245672E+3	7.7486010E-3	-40.561314E+0
5.8882603E+3	88.245672E+3	7.7546141E-3	-41.987022E+0
6.0412017E+3	88.245672E+3	7.5703836E-3	-41.598835E+0
6.1941431E+3	88.245672E+3	7.3429989E-3	-42.911957E+0
6.3470845E+3	88.245672E+3	7.2846040E-3	-44.016827E+0
6.5000259E+3	88.245672E+3	7.1862005E-3	-44.332890E+0
6.6529673E+3	88.245672E+3	7.3086242E-3	-43.834972E+0
6.8059087E+3	88.245672E+3	7.0913248E-3	-46.350441E+0
6.9588501E+3	88.245672E+3	7.0981150E-3	-45.893581E+0
7.1117915E+3	88.245672E+3	7.0758075E-3	-46.442352E+0
7.2647329E+3	88.245672E+3	6.8105147E-3	-47.161083E+0
7.4176743E+3	88.245672E+3	6.9198897E-3	-49.249729E+0
7.5706157E+3	88.245672E+3	6.7292415E-3	-50.031078E+0
7.7235571E+3	88.245672E+3	6.7049819E-3	-51.042046E+0
7.8764985E+3	88.245672E+3	6.7130835E-3	-50.223373E+0
8.0294399E+3	88.245672E+3	6.6551110E-3	-51.740971E+0
8.1823813E+3	88.245672E+3	6.5696891E-3	-51.710373E+0
8.3353223E+3	88.245672E+3	6.2841624E-3	-53.016518E+0
8.4882637E+3	88.245672E+3	6.4353803E-3	-52.975475E+0
8.6412051E+3	88.245672E+3	6.3882717E-3	-53.994797E+0
8.7941465E+3	88.245672E+3	6.1608739E-3	-54.679482E+0
8.9470879E+3	88.245672E+3	6.2042265E-3	-54.260944E+0
9.1000293E+3	88.245672E+3	6.0171168E-3	-54.860439E+0
9.2529707E+3	88.245672E+3	6.0868091E-3	-56.634293E+0
9.4059121E+3	88.245672E+3	6.0050567E-3	-58.855549E+0
9.5588535E+3	88.245672E+3	5.9329038E-3	-57.029125E+0
9.7117949E+3	88.245672E+3	5.7853078E-3	-57.810745E+0
9.8647363E+3	88.245672E+3	5.6517222E-3	-58.108150E+0
10.017678E+3	88.245672E+3	5.6724465E-3	-59.421684E+0
10.170619E+3	88.245672E+3	5.7440889E-3	-59.434998E+0
10.323561E+3	88.245672E+3	5.6290943E-3	-59.690243E+0
10.476502E+3	88.245672E+3	5.4847929E-3	-59.575764E+0
10.629443E+3	88.245672E+3	5.3861481E-3	-61.252972E+0
10.782385E+3	88.245672E+3	5.3683748E-3	-61.785564E+0
10.935326E+3	88.245672E+3	5.3892080E-3	-63.565502E+0
11.088268E+3	88.245672E+3	5.3099412E-3	-62.205059E+0
11.241209E+3	88.245672E+3	5.3232452E-3	-61.135647E+0
11.394150E+3	88.245672E+3	5.2281311E-3	-63.739571E+0
11.547092E+3	88.245672E+3	5.0751064E-3	-64.239380E+0
11.700033E+3	88.245672E+3	5.0911568E-3	-62.775089E+0
11.852975E+3	88.245672E+3	4.9481657E-3	-64.420509E+0
12.005916E+3	88.245672E+3	5.0040265E-3	-64.617470E+0
12.158857E+3	88.245672E+3	4.9291351E-3	-63.773052E+0
12.311799E+3	88.245672E+3	5.0510294E-3	-66.106956E+0
12.464740E+3	88.245672E+3	4.9444912E-3	-66.738106E+0
12.617682E+3	88.245672E+3	4.6471963E-3	-68.560715E+0
12.770623E+3	88.245672E+3	4.6574762E-3	-66.661118E+0
12.923564E+3	88.245672E+3	4.6415334E-3	-68.250244E+0
13.076506E+3	88.245672E+3	4.6092109E-3	-67.111794E+0
13.229447E+3	88.245672E+3	4.5676269E-3	-70.065338E+0
