Experiment	LongTerm Data	
6.0502649E+2	-3.7361670E+2
6.0602661E+2	-3.8181750E+2
6.0702771E+2	-3.5967154E+2
6.0802582E+2	-3.8977832E+2
6.0902692E+2	-3.7085016E+2
6.1002600E+2	-4.1144717E+2
6.1102612E+2	-4.1709033E+2
6.1202618E+2	-3.9137756E+2
6.1302631E+2	-3.8930884E+2
6.1402637E+2	-4.1323444E+2
6.1502747E+2	-4.0265906E+2
6.1602661E+2	-4.1708578E+2
6.1702667E+2	-4.1318521E+2
6.1802679E+2	-3.9973630E+2
6.1902692E+2	-4.4489142E+2
6.2002698E+2	-3.9625037E+2
6.2102710E+2	-3.4215558E+2
6.2202722E+2	-4.2213876E+2
6.2302728E+2	-4.3658231E+2
6.2402740E+2	-4.2881451E+2
6.2502850E+2	-4.1986252E+2
6.2602661E+2	-4.2467087E+2
6.2702667E+2	-4.0930270E+2
6.2802679E+2	-3.7008426E+2
6.2902692E+2	-3.8463992E+2
6.3002698E+2	-4.0751825E+2
6.3102808E+2	-4.1660669E+2
6.3202722E+2	-4.2432483E+2
6.3302832E+2	-4.1319159E+2
6.3402740E+2	-4.5446826E+2
6.3502747E+2	-4.1732422E+2
6.3602759E+2	-3.9705606E+2
6.3702771E+2	-3.8343478E+2
6.3802777E+2	-4.0448529E+2
6.3902789E+2	-4.3566959E+2
6.4002802E+2	-3.6095609E+2
6.4102808E+2	-3.9279318E+2
6.4202820E+2	-4.0936496E+2
6.4302728E+2	-3.7886731E+2
6.4402740E+2	-3.9365930E+2
6.4502850E+2	-4.3332404E+2
6.4602759E+2	-4.4927042E+2
6.4702972E+2	-4.2104120E+2
6.4802777E+2	-3.8753641E+2
6.4902887E+2	-3.9968631E+2
6.5002802E+2	-4.2210822E+2
6.5102808E+2	-4.2534344E+2
6.5202820E+2	-4.2853842E+2
6.5302832E+2	-4.2548730E+2
6.5402838E+2	-4.3116498E+2
6.5502850E+2	-4.2812753E+2
6.5602863E+2	-4.0930667E+2
6.5702869E+2	-4.1394025E+2
6.5802881E+2	-4.0765668E+2
6.5902991E+2	-4.3755197E+2
6.6002899E+2	-4.0293152E+2
6.6103009E+2	-3.8894550E+2
6.6202820E+2	-4.0757315E+2
6.6302832E+2	-3.8675287E+2
6.6402838E+2	-3.5645419E+2
6.6502850E+2	-3.7079184E+2
